Designator,Mid X,Mid Y,Rotation,Layer
D1,112.776,-66.0146,0.0,top
D10,122.35,-59.64,90.0,bottom
D11,122.35,-78.74,90.0,bottom
D12,122.35,-97.74,90.0,bottom
D13,141.35,-59.64,90.0,bottom
D14,141.4,-78.69,90.0,bottom
D15,141.4,-97.74,90.0,bottom
D16,160.45,-59.64,90.0,bottom
D17,160.45,-78.69,90.0,bottom
D18,160.45,-97.74,90.0,bottom
D19,177.4029,-62.5871,0.0,top
D2,131.8422,-66.0012,0.0,top
D20,177.3589,-69.1881,180.0,top
D21,177.4537,-75.3633,0.0,top
D22,177.4097,-81.7357,180.0,top
D3,150.8922,-66.0266,0.0,top
D4,112.8361,-85.0915,0.0,top
D5,131.8353,-85.0407,0.0,top
D6,150.8922,-85.0766,0.0,top
D7,112.8107,-104.1161,0.0,top
D8,131.8676,-104.1012,0.0,top
D9,150.9,-104.1161,0.0,top
SW1,177.4952,-99.0346,270.0,top
SW10,150.9,-96.92195,0.0,top
SW2,112.8,-58.82195,0.0,top
SW3,112.8,-77.87195,0.0,top
SW4,112.8,-96.92195,0.0,top
SW5,131.85,-58.82195,0.0,top
SW6,131.85,-77.87195,0.0,top
SW7,131.85,-96.92195,0.0,top
SW8,150.9,-58.82195,0.0,top
SW9,150.9,-77.87195,0.0,top
U1,114.199,-42.6466,90.0,top
U2,173.2365,-45.670015,0.0,top
